completed_at,merchant,category,amount,first,last,gender,street,city,state,role,currency
2019-08-26T11:57:31,"Cremin, Hamill and Reichel",misc_pos,7.32,Matthew,Russell,M,168 Michael Coves Suite 343,June Lake,CA,Health service manager,CAD
2020-04-28T05:18:21,"Hayes, Marquardt and Dibbert",misc_net,85.93,William,Jenkins,M,50614 Kevin Point,Harper,TX,"Pharmacist, community",CAD
2020-04-06T23:58:36,"Walter, Hettinger and Kessler",personal_care,1.14,Stephanie,Cummings,F,1025 Robin Square,Ash Flat,AR,Hydrologist,CAD
2019-10-24T22:56:49,Grimes LLC,entertainment,145.41,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,Chartered loss adjuster,CAD
2019-05-20T18:56:36,Rippin-VonRueden,health_fitness,77.14,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,Manufacturing engineer,CAD
2019-12-31T07:44:36,Heller-Abshire,grocery_net,65.01,Angela,Ross,F,0107 Clements Point,American Fork,UT,Futures trader,USD
2019-09-15T23:40:31,Bogisich-Weimann,kids_pets,60.53,Susan,Hardy,F,516 Brown Parks,Manistique,MI,Trade mark attorney,USD
2020-03-12T07:19:35,"Boehm, Predovic and Reinger",misc_pos,6.28,Kenneth,Richards,M,994 Livingston Extensions Suite 918,Norwalk,OH,Copy,CAD
2019-05-15T02:10:44,Murray-Smitham,grocery_pos,110.85,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,Tourist information centre manager,CAD
2020-05-31T14:06:28,Eichmann-Kilback,home,155.61,Daniel,Martinez,M,8510 Acevedo Burgs,Kent,OR,Museum education officer,USD
2019-10-03T23:39:52,"Baumbach, Strosin and Nicolas",shopping_pos,48.74,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,"Scientist, audiological",USD
2019-09-30T15:51:53,Denesik and Sons,shopping_pos,3.26,Jessica,Werner,F,4529 Cannon Alley,Center Point,WV,Chief Executive Officer,CAD
2019-03-29T08:05:04,Dooley Inc,shopping_pos,5.65,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,Pension scheme manager,CAD
2019-05-10T17:56:43,"Hermiston, Russel and Price",food_dining,20.73,Joshua,Carpenter,M,04975 Allison Shoal,Bronx,NY,"Therapist, drama",CAD
2020-04-29T16:54:31,Schulist Ltd,food_dining,13.77,Dawn,Tucker,F,789 Herring Manors,Houston,TX,"Copywriter, advertising",USD
2019-01-19T13:23:25,Brown Inc,kids_pets,42.37,Barbara,Nelson,F,7337 Browning Falls Suite 027,Valdosta,GA,Educational psychologist,CAD
2019-03-28T18:03:58,Leffler-Goldner,personal_care,35.61,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,Financial trader,CAD
2019-11-16T03:49:32,Collier Inc,grocery_net,63.79,Jessica,Bell,F,669 Moore Shoal,Bethel,OH,Field trials officer,CAD
2019-02-10T07:10:09,"Stroman, Hudson and Erdman",gas_transport,55.49,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,Public relations account executive,USD
2019-01-25T11:26:31,Pfeffer and Sons,shopping_pos,6.94,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,Child psychotherapist,CAD
2019-12-31T17:39:59,Heller PLC,health_fitness,191.03,William,Skinner,M,524 Wu Spurs Suite 894,Mount Hope,AL,"Librarian, academic",USD
2019-11-18T14:39:18,"Runolfsdottir, Mueller and Hand",entertainment,272.64,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,Medical sales representative,CAD
2019-01-27T22:55:25,Rempel Inc,shopping_net,4.7,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,Product/process development scientist,CAD
2019-11-02T06:39:28,Pacocha-O'Reilly,grocery_pos,216.66,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,English as a second language teacher,CAD
2020-05-26T15:24:36,Keeling-Crist,misc_pos,4.84,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,Social researcher,CAD
2020-05-03T20:12:18,"Lowe, Dietrich and Erdman",kids_pets,73.11,Amanda,Vance,F,14601 Downs Skyway Apt. 440,Sterling City,TX,"Scientist, biomedical",CAD
2020-01-21T18:31:18,Block-Parisian,misc_net,93.73,Jeffrey,Smith,M,135 Joseph Mountains,Sula,MT,"Therapist, horticultural",USD
2019-04-01T09:58:52,McDermott-Weimann,grocery_pos,132.84,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,Medical technical officer,CAD
2019-04-06T03:42:41,Dooley Inc,shopping_pos,30.57,Bradley,Anderson,M,3896 Gilmore Mill,Emmons,MN,Communications engineer,CAD
2020-05-30T17:49:36,Sporer-Keebler,personal_care,78.19,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,"Lecturer, higher education",CAD
2019-12-23T13:07:11,Schmidt-Larkin,home,3.43,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,Neurosurgeon,USD
2019-07-21T18:45:23,Brown Inc,kids_pets,9.1,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,Building surveyor,CAD
2019-01-14T13:03:33,Balistreri-Nader,misc_pos,4.03,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,Musician,CAD
2019-08-05T12:59:02,Daugherty LLC,kids_pets,7.59,Laura,Casey,F,6114 Moran Way,Steuben,ME,Make,CAD
2019-05-05T17:32:32,Rippin-VonRueden,health_fitness,11.22,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,"Exhibitions officer, museum/gallery",USD
2019-06-30T13:33:36,Nolan-Williamson,kids_pets,53.32,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,Research scientist (physical sciences),USD
2019-02-17T21:35:47,Cormier LLC,health_fitness,50.25,Lauren,Butler,F,030 Seth Divide Suite 355,Tulsa,OK,"Teacher, special educational needs",USD
2020-02-16T23:55:23,Satterfield-Lowe,travel,6.71,Karen,Warren,F,4900 Curtis Gardens Suite 952,Hahira,GA,"Teacher, special educational needs",CAD
2019-08-31T17:09:39,Hermann and Sons,shopping_pos,1.84,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,Regulatory affairs officer,CAD
2019-06-07T15:28:41,Langworth LLC,personal_care,100.55,Christie,Williamson,F,519 Jerry Views,Avoca,IA,Engineering geologist,CAD
2019-10-05T21:03:40,Gleason and Sons,kids_pets,47.11,Christian,Roman,M,495 Fisher Throughway,Grand Junction,TN,Clothing/textile technologist,USD
2019-05-15T22:48:11,Nolan-Williamson,kids_pets,23.11,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,Geoscientist,CAD
2020-06-02T22:23:52,Bode-Rempel,kids_pets,50.84,Sherry,Martinez,F,144 Yu Locks Apt. 754,Garrattsville,NY,Naval architect,CAD
2019-05-25T08:51:29,"Greenholt, O'Hara and Balistreri",shopping_net,105.8,Christian,Roman,M,495 Fisher Throughway,Grand Junction,TN,Clothing/textile technologist,CAD
2020-03-23T16:40:28,Kuhn Group,food_dining,52.33,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,Systems developer,CAD
2019-03-21T22:16:46,Monahan-Morar,personal_care,4.38,Ashley,Whitehead,F,58188 Madison Meadow Apt. 949,Cowlesville,NY,Colour technologist,CAD
2019-08-24T04:54:38,"Schumm, McLaughlin and Carter",food_dining,71.31,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,"Radiographer, diagnostic",CAD
2019-10-18T21:13:32,Kilback Group,food_dining,54.2,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,Building surveyor,CAD
2020-01-19T07:36:38,Emmerich-Luettgen,grocery_net,58.27,David,Rodriguez,M,821 Solis Points,Muskegon,MI,Historic buildings inspector/conservation officer,USD
2019-11-25T01:04:19,Schmitt Inc,gas_transport,53.91,Dawn,Stephens,F,91542 Marissa Shores Apt. 053,Oran,IA,Sports administrator,CAD
2019-10-18T05:26:00,Schmidt and Sons,shopping_net,106.91,Peter,Caldwell,M,08966 Beltran Route Suite 905,Oaks,PA,Oceanographer,CAD
2019-09-28T09:10:06,Huel-Langworth,misc_net,10.18,Melissa,Krause,F,67632 Martin Gateway,Fordoche,LA,Community education officer,USD
2020-05-25T18:01:16,Kling-Ernser,entertainment,211.1,Elizabeth,Glover,F,246 Stewart Green Suite 149,West Monroe,LA,"Radiographer, diagnostic",CAD
2019-08-28T03:57:27,"Tillman, Fritsch and Schmitt",misc_net,516.14,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,Petroleum engineer,CAD
2019-05-16T19:43:41,Hirthe-Beier,health_fitness,5.53,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,Counsellor,CAD
2020-01-11T06:01:05,"Quitzon, Green and Bashirian",shopping_pos,7.69,Teresa,Blankenship,F,6638 Lucero Mill Suite 952,Karnack,TX,Chiropodist,USD
2019-05-14T10:31:21,"Hoppe, Harris and Bednar",entertainment,175.58,Monique,Fox,F,755 Gardner Heights Apt. 420,Paxton,MA,Accounting technician,CAD
2020-04-07T11:44:06,"Johnston, Nikolaus and Maggio",grocery_net,39.59,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,Further education lecturer,CAD
2019-08-16T06:44:35,Lockman Ltd,grocery_pos,127.77,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,"Psychologist, counselling",CAD
2019-07-02T20:59:54,Leannon-Ward,food_dining,57.98,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,Television floor manager,CAD
2020-04-07T14:50:13,Conroy-Emard,food_dining,171.18,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,Make,CAD
2019-01-30T12:59:53,Romaguera Ltd,health_fitness,82.0,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,Further education lecturer,CAD
2019-01-05T17:58:13,"Baumbach, Strosin and Nicolas",shopping_pos,22.17,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,"Designer, industrial/product",CAD
2019-04-24T11:11:10,Cole PLC,grocery_pos,81.32,Christie,Williamson,F,519 Jerry Views,Avoca,IA,Engineering geologist,CAD
2019-04-01T07:13:32,"Osinski, Ledner and Leuschke",grocery_pos,122.05,William,Cannon,M,43809 Kenneth Circles Suite 152,Union,WV,Chartered public finance accountant,CAD
2019-01-22T20:39:05,Wilkinson LLC,personal_care,43.08,Belinda,Jimenez,F,6807 Jacob Skyway Apt. 331,Rockwell,IA,"Scientist, audiological",CAD
2020-06-12T08:51:26,Keeling-Crist,misc_pos,968.8,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,"Psychologist, sport and exercise",CAD
2019-11-20T14:20:07,"Kerluke, Considine and Macejkovic",misc_net,173.55,Grace,Williams,F,28812 Charles Mill Apt. 628,Plantersville,AL,Drilling engineer,CAD
2020-01-15T16:23:04,Haag-Blanda,food_dining,68.18,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,Social researcher,CAD
2019-11-16T16:10:18,Kris-Weimann,misc_net,3.66,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,Special educational needs teacher,USD
2020-02-03T17:53:54,"Zemlak, Tillman and Cremin",personal_care,71.39,Sarah,Adams,F,5654 Peterson Land,Ridgeland,MS,"Scientist, clinical (histocompatibility and immunogenetics)",CAD
2020-01-17T23:12:08,Torp-Lemke,misc_pos,7.23,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,"Research officer, trade union",CAD
2019-12-30T07:29:35,Deckow-O'Conner,grocery_pos,122.22,David,Kirby,M,133 Alyssa Plains,Lolita,TX,Archaeologist,CAD
2019-07-07T16:35:27,"Lubowitz, Terry and Stracke",personal_care,108.04,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,"Designer, industrial/product",USD
2019-07-04T14:31:24,"Larkin, Stracke and Greenfelder",entertainment,130.36,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,Occupational psychologist,USD
2020-06-09T16:15:54,"Schroeder, Hauck and Treutel",entertainment,37.8,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,Contractor,CAD
2019-12-05T13:50:09,Erdman-Ebert,personal_care,54.8,Brenda,Johnson,F,56160 Nicholas Isle,Norwich,OH,Research scientist (medical),CAD
2020-06-15T21:32:40,"Lubowitz, Terry and Stracke",personal_care,2.79,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,Careers information officer,CAD
2019-09-03T18:51:49,"Schroeder, Wolff and Hermiston",travel,7.17,Valerie,Clark,F,7402 West Ranch,Lowell,OR,Systems analyst,CAD
2019-01-07T18:24:27,"Kihn, Brakus and Goyette",personal_care,113.9,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,Osteopath,USD
2019-08-08T19:08:41,"Schmeler, Bashirian and Price",shopping_net,22.45,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,Electrical engineer,CAD
2019-11-09T17:54:35,Skiles LLC,home,56.54,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,Product/process development scientist,USD
2019-07-31T18:37:21,"Ruecker, Beer and Collier",shopping_net,6.5,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,Animal technologist,USD
2019-07-16T17:54:56,"Zemlak, Tillman and Cremin",personal_care,75.57,Bradley,Martinez,M,3426 David Divide Suite 717,Burns Flat,OK,Politician's assistant,CAD
2019-12-19T12:25:16,White and Sons,home,173.45,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,"Psychologist, sport and exercise",USD
2019-12-17T10:19:22,Bins-Rice,gas_transport,59.18,Scott,Sullivan,M,776 Martin Ridge,Newton,NH,"Therapist, music",CAD
2019-03-15T12:57:34,Bahringer Group,health_fitness,73.37,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,Petroleum engineer,USD
2020-01-09T17:17:33,"Berge, Kautzer and Harris",personal_care,6.63,Angela,White,F,137 Adam Dale,Lebanon,VA,"Teacher, English as a foreign language",USD
2019-09-24T14:49:19,"O'Reilly, Mohr and Purdy",home,15.61,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,"Engineer, production",USD
2019-06-29T13:04:02,"Quitzon, Green and Bashirian",shopping_pos,6.78,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,"Surveyor, land/geomatics",CAD
2019-01-17T07:42:02,"Jones, Sawayn and Romaguera",misc_net,113.68,Wesley,Parker,M,7452 Browning Port,Mc Intosh,SD,"Designer, industrial/product",CAD
2019-02-28T12:35:02,Watsica LLC,personal_care,4.34,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,Commercial/residential surveyor,CAD
2019-05-21T12:29:22,Stoltenberg-Beatty,shopping_pos,97.44,Daniel,Graham,M,28223 Ward Summit Apt. 664,Arvada,CO,Hotel manager,USD
2019-01-05T07:16:28,Kuphal-Bartoletti,misc_net,12.09,Ellen,Carrillo,F,9431 Amanda Mills,Odessa,MO,Clinical research associate,CAD
2019-10-06T15:34:24,Kihn Inc,shopping_pos,4.88,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,Counsellor,CAD
2019-08-30T17:46:44,Gislason Group,misc_pos,1.37,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,"Scientist, research (maths)",USD
2019-03-25T18:42:33,Feil-Morar,health_fitness,14.14,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,"Exhibitions officer, museum/gallery",USD
2019-12-22T14:04:05,Jast and Sons,food_dining,8.52,Joel,Rivera,M,121 Solis Summit Apt. 934,Tryon,OK,"Psychotherapist, child",USD
2019-12-28T12:52:31,"Goyette, Howell and Collier",shopping_pos,1124.41,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,Environmental consultant,CAD
2019-06-24T22:40:00,Mayert Group,shopping_pos,5.35,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,Pharmacologist,CAD
2020-06-06T09:31:14,"Willms, Kris and Bergnaum",shopping_pos,25.13,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,"Designer, multimedia",CAD
2019-01-11T23:44:44,Friesen Ltd,health_fitness,74.72,William,Thomas,M,39227 Mcpherson Shoals,Lahoma,OK,Podiatrist,CAD
2020-01-26T20:11:08,"Bins, Balistreri and Beatty",shopping_pos,76.85,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,Intelligence analyst,CAD
2020-02-17T03:17:43,O'Keefe-Hudson,grocery_pos,84.47,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,Dealer,CAD
2020-06-15T06:10:05,Bartoletti-Wunsch,gas_transport,68.39,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,Mental health nurse,CAD
2019-09-01T01:03:30,Parisian and Sons,gas_transport,17.85,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,Medical technical officer,USD
2019-05-16T21:14:16,Bednar PLC,kids_pets,31.22,Sarah,Adams,F,5654 Peterson Land,Ridgeland,MS,"Scientist, clinical (histocompatibility and immunogenetics)",CAD
2019-08-11T14:04:34,Torp-Lemke,misc_pos,249.81,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,Ceramics designer,CAD
2019-08-04T13:03:58,McGlynn-Jaskolski,misc_pos,12.74,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,Herbalist,CAD
2020-03-04T22:57:18,"Weber, Thiel and Hammes",kids_pets,91.74,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,Probation officer,CAD
2019-12-15T19:52:59,McKenzie-Huels,food_dining,18.97,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,Operations geologist,CAD
2019-12-23T21:43:00,Schimmel-Olson,kids_pets,17.48,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,Drilling engineer,CAD
2020-04-25T03:57:43,Kuphal-Bartoletti,misc_net,6.16,Jason,Gray,M,875 Amy Point,Amorita,OK,Barrister's clerk,CAD
2019-03-24T02:33:14,Zemlak Group,misc_net,36.22,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,"Scientist, marine",CAD
2020-03-23T08:30:41,"Moen, Reinger and Murphy",grocery_pos,97.43,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,Mining engineer,CAD
2020-01-18T19:21:36,Frami Group,entertainment,243.59,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,IT trainer,CAD
2020-01-02T01:27:57,Kuhic Inc,grocery_pos,115.23,Melanie,Jimenez,F,77944 Daniels Valley Suite 921,Camden,NY,Building control surveyor,CAD
2020-01-05T22:27:46,"Dare, Casper and Bartoletti",kids_pets,59.68,Joe,Howard,M,109 Brian Lights Apt. 504,Shippingport,PA,Secretary/administrator,USD
2019-07-22T12:42:17,Crooks and Sons,personal_care,249.23,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,"Librarian, public",USD
2019-06-30T03:42:03,Conroy-Cruickshank,gas_transport,57.93,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,"Sales professional, IT",USD
2019-09-30T21:39:38,Macejkovic-Lesch,shopping_pos,11.44,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,"Psychologist, counselling",CAD
2019-11-11T22:55:43,Heller PLC,health_fitness,53.42,James,Leon,M,826 Benjamin Stravenue,Alexandria,VA,"Scientist, biomedical",CAD
2019-06-04T08:16:13,"Jenkins, Hauck and Friesen",gas_transport,49.53,Patricia,Rodriguez,F,386 Randolph Throughway,Warren,OH,Magazine features editor,CAD
2019-04-08T21:26:17,McKenzie-Huels,food_dining,58.17,Adam,Riddle,M,27718 Mason Bypass,Mount Saint Joseph,OH,Exhibition designer,CAD
2020-01-03T05:44:44,Hamill-Daugherty,misc_net,9.02,Elizabeth,Maxwell,F,194 Goodman Fall Apt. 569,Burlington,WA,Public house manager,USD
2019-04-30T19:05:08,"Mueller, Gerhold and Mueller",health_fitness,103.48,Amber,Perez,F,954 Reyes Ways,Fulton,SD,Financial adviser,USD
2020-05-05T17:27:38,Bode-Schuster,kids_pets,18.2,William,Cannon,M,43809 Kenneth Circles Suite 152,Union,WV,Chartered public finance accountant,CAD
2019-07-16T20:49:44,"Schneider, Hayes and Nikolaus",food_dining,2.44,Melvin,Wright,M,210 Dean Causeway Suite 130,Alton,IA,"Engineer, land",CAD
2019-12-04T05:51:08,Emard Inc,gas_transport,81.57,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,Location manager,CAD
2020-04-19T03:16:27,"Romaguera, Cruickshank and Greenholt",shopping_net,320.0,Kyle,Wright,M,610 Samantha Park Suite 149,Whittemore,IA,Optometrist,CAD
2019-03-18T16:28:22,"Dare, Casper and Bartoletti",kids_pets,17.54,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,Heritage manager,CAD
2019-07-23T20:32:41,"Roberts, Daniel and Macejkovic",kids_pets,15.77,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,"Librarian, academic",CAD
2019-05-28T22:13:16,Waelchi-Wolf,kids_pets,82.2,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,Logistics and distribution manager,USD
2020-03-12T07:29:13,"Quitzon, Green and Bashirian",shopping_pos,6.1,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,"Pilot, airline",CAD
2019-09-27T04:31:41,Wiegand-Lowe,grocery_net,54.51,Julia,Bell,F,576 House Crossroad,West Sayville,NY,Film/video editor,CAD
2019-07-06T11:32:28,O'Keefe-Hudson,grocery_pos,101.12,Janet,Turner,F,0925 Lang Extensions,Shields,ND,Film/video editor,CAD
2019-04-06T21:51:04,"Kling, Howe and Schneider",home,208.92,Alice,Kemp,F,057 Martinez Radial,Texarkana,AR,Surgeon,CAD
2019-07-12T00:41:52,"Raynor, Feest and Miller",gas_transport,63.62,Terrance,Mckinney,M,42965 Christopher Fords Suite 659,Norman,AR,Magazine features editor,CAD
2020-06-16T19:27:52,Labadie LLC,personal_care,71.41,Mary,Mcintyre,F,77921 Costa Villages,Eugene,OR,"Scientist, physiological",CAD
2019-11-30T09:41:09,"Jenkins, Hauck and Friesen",gas_transport,65.18,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,Secondary school teacher,CAD
2019-11-23T18:19:46,Wuckert-Goldner,home,113.15,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,Statistician,USD
2020-04-12T19:28:29,Champlin-Casper,home,53.99,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,Insurance underwriter,USD
2019-11-10T02:13:40,Mayert Group,shopping_pos,223.66,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,Public affairs consultant,CAD
2020-03-01T16:38:13,Fadel Inc,health_fitness,5.46,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,Airline pilot,USD
2019-12-30T03:43:48,"Boehm, Predovic and Reinger",misc_pos,2.9,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,Chemical engineer,USD
2020-02-23T14:18:41,Ernser-Feest,home,52.58,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,"Lecturer, higher education",CAD
2020-04-27T07:02:01,Cassin-Harvey,grocery_net,148.51,Jennifer,Jones,F,5572 Kelly Plains Apt. 952,Waupaca,WI,"Engineer, civil (contracting)",CAD
2020-03-09T06:15:48,"Olson, Becker and Koch",gas_transport,75.37,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,"Research officer, political party",CAD
2019-04-01T14:42:06,"O'Connell, Botsford and Hand",home,38.35,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,Dispensing optician,CAD
2019-04-09T23:30:15,Medhurst Inc,home,6.26,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,Fisheries officer,USD
2020-04-12T19:58:59,"Runte, Green and Emard",health_fitness,103.5,Catherine,Weber,F,74890 Rodriguez Springs Apt. 540,West Henrietta,NY,"Teacher, primary school",CAD
2019-06-01T18:12:26,Schumm PLC,health_fitness,32.24,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,Risk analyst,CAD
2019-04-20T05:57:15,Heller-Langosh,gas_transport,55.38,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,Music tutor,USD
2019-12-12T23:37:48,Quitzon-Goyette,home,15.43,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,Osteopath,USD
2019-12-24T02:07:39,Bogisich-Homenick,misc_net,114.25,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,Animal technologist,CAD
2019-12-02T11:24:56,Pouros-Haag,shopping_pos,5.36,Scott,Edwards,M,838 Amy Street Suite 107,Pembroke,NC,Hospital doctor,CAD
2019-06-27T17:06:58,"Feil, Hilpert and Koss",food_dining,43.37,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,"Scientist, marine",CAD
2019-12-31T14:49:30,"McDermott, Osinski and Morar",home,60.15,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,Sub,CAD
2020-03-01T18:35:15,Kilback and Sons,entertainment,264.1,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,"Librarian, public",CAD
2020-05-01T00:28:08,"Jenkins, Hauck and Friesen",gas_transport,42.62,Emily,Hall,F,8851 Reese Neck,Basye,VA,"Engineer, mining",CAD
2019-11-03T16:25:27,Jast and Sons,food_dining,4.28,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,"Lecturer, higher education",USD
2020-03-07T03:59:41,"Rowe, Batz and Goodwin",grocery_pos,55.14,Jeffrey,Smith,M,135 Joseph Mountains,Sula,MT,"Therapist, horticultural",USD
2019-12-06T09:52:51,"Terry, Johns and Bins",misc_pos,9.49,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,Electrical engineer,CAD
2019-07-03T09:11:43,Kuhic Inc,grocery_pos,44.61,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,Exhibition designer,CAD
2019-07-16T07:18:31,Torp-Lemke,misc_pos,6.95,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,Mental health nurse,CAD
2019-04-01T06:10:44,"Wintheiser, Dietrich and Schimmel",misc_pos,27.33,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,Product designer,CAD
2020-05-28T19:01:47,"Hagenes, Kohler and Hoppe",food_dining,49.19,Michelle,Woods,F,952 Joseph Throughway,Munith,MI,Geophysicist/field seismologist,CAD
2020-03-02T18:15:19,"Turcotte, McKenzie and Koss",entertainment,34.25,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,Archaeologist,CAD
2019-04-09T12:19:10,Lubowitz-Walter,kids_pets,1.1,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,Audiological scientist,CAD
2020-01-20T13:38:34,Windler LLC,kids_pets,81.22,Linda,Gonzalez,F,17667 Price Spur Apt. 366,Glen Rock,PA,Insurance claims handler,USD
2019-12-16T16:33:18,Botsford PLC,home,8.41,Jacqueline,Allen,F,166 Lisa Fords,Greenwood,IN,Financial adviser,CAD
2019-12-04T02:29:12,Kuhic Inc,grocery_pos,55.69,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,"Psychologist, sport and exercise",CAD
2019-12-01T14:59:14,Ullrich Ltd,kids_pets,101.65,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,Land,USD
2020-05-29T23:33:50,Weimann-Lockman,kids_pets,23.52,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,"Psychologist, forensic",CAD
